PART NUMBER,SERIAL NUMBER,DESCRIPTION,QTY
661-04582,F8Y246602CXG8H8DC,Battery Kit iPhone 6s Plus,1
661-04582,F8Y249105ACG8H8DW,Battery Kit iPhone 6s Plus,1
661-04580,F8Y904402T9FTHLDL,Battery iPhone 6 Plus,1
661-04580,F8Y9024051UFTHLDE,Battery iPhone 6 Plus,1
661-04581,F5D20660CEDG5NYCD,Battery Kit iPhone 6s,1
661-13624,F8Y4495C2HNMD2CBH,Battery iPhone 11 Pro Max,1
661-13624,F8Y4495C1XGMD2CBG,Battery iPhone 11 Pro Max,1
923-05011,DXY040334YLNR5T5L,Speaker iPhone 12 mini,1
923-05011,DXY04013DMZNR5T5Z,Speaker iPhone 12 mini,1
923-04915,DTV037745DBNR6D5G,Speaker iPhone 12 and 12 Pro,1
923-04915,DTV03774B3ZNR6D5J,Speaker iPhone 12 and 12 Pro,1
923-05104,DTV036327VKNR6N5W,Speaker iPhone 12 Pro Max,1
923-05104,DTV036327URNR6N5T,Speaker iPhone 12 Pro Max,1
661-17921,F6D21661B3RMFGR5F,Camera iPhone 12,1
661-17921,F6D20740YBUMFGR54,Camera iPhone 12,1
661-17922,GCF10338N99MFGVBN,Camera iPhone 12 Pro,1
661-17922,GCF242779GYMFGVBL,Camera iPhone 12 Pro,1
923-06682,GH9132323EQ08098X,SVCTAPTICIPHONE 13 MINI,1
923-06682,GH913232HZW08098N,SVCTAPTICIPHONE 13 MINI,1
923-06682,GH913222GSL08098M,SVCTAPTICIPHONE 13 MINI,1
923-06237,GH912953EQD033C83,SVCTAPTICIPHONE 13,1
923-06237,GH912953HJS033C85,SVCTAPTICIPHONE 13,1
923-06237,GH9129630KB033C8Z,SVCTAPTICIPHONE 13,1
923-06258,GH713425R2D074286,SVCTAPTICIPHONE 13 PRO,1
923-06258,GH7134238ZP07428U,SVCTAPTICIPHONE 13 PRO,1
923-06258,GH713425AJL074280,SVCTAPTICIPHONE 13 PRO,1
923-06643,GH713247A0D07478L,SVCTAPTICIPHONE 13 PRO Max,1
923-06643,GH713246FH8074786,SVCTAPTICIPHONE 13 PRO Max,1
923-06643,GH7132566T407478N,SVCTAPTICIPHONE 13 PRO Max,1
661-14099,G9P1363CFBDJMPN53,Display iPhone 11 Pro Max,1
661-14099,G9P0455CKNRJMPN5R,Display iPhone 11 Pro Max,1
661-14099,G9P1203CH8TJMPN5F,Display iPhone 11 Pro Max,1
661-14099,G9P2352CLEBJMPN5S,Display iPhone 11 Pro Max,1
661-07288,C118046M3AUG192TZ,DISPLAYIPHONE 6SROSE GOLDDH,1
661-07288,C119081M99FG192TZ,DISPLAYIPHONE 6SROSE GOLDDH,1
661-07285,DKH947342DXG8GLSE,DISPLAYIPHONE 6SSPACE GRAYDH,1
661-07285,DKH947344F1G8GLS2,DISPLAYIPHONE 6SSPACE GRAYDH,1
661-07286,C118126M0AJG192TH,DISPLAYIPHONE 6SSILVERDH,1
661-07286,F7C7484RAFQG192TU,DISPLAYIPHONE 6SSILVERDH,1
661-07287,F7C7483R34DG192TC,DISPLAYIPHONE 6SGOLDDH,1
661-07287,C119082M3KUG192TV,DISPLAYIPHONE 6SGOLDDH,1
